,Letter," ""Frequency"""," ""Percentage"""
0,"    ""A""",24373121,8.1
1,"    ""B""",4762938,1.6
2,"    ""C""",8982417,3.0
3,"    ""D""",10805580,3.6
4,"    ""E""",37907119,12.6
5,"    ""F""",7486889,2.5
6,"    ""G""",5143059,1.7
7,"    ""H""",18058207,6.0
8,"    ""I""",21820970,7.3
9,"    ""J""",474021,0.2
10,"    ""K""",1720909,0.6
11,"    ""L""",11730498,3.9
12,"    ""M""",7391366,2.5
13,"    ""N""",21402466,7.1
14,"    ""O""",23215532,7.7
15,"    ""P""",5719422,1.9
16,"    ""Q""",297237,0.1
17,"    ""R""",17897352,5.9
18,"    ""S""",19059775,6.3
19,"    ""T""",28691274,9.5
20,"    ""U""",8022379,2.7
21,"    ""V""",2835696,0.9
22,"    ""W""",6505294,2.2
23,"    ""X""",562732,0.2
24,"    ""Y""",5910495,2.0
25,"    ""Z""",93172,0.0
